id;x1;x2;x3;x4;x5;y_regression;y_classification
3466;62;9.68;a;0.168380004;50;927.3942207;1
2483;62;2.87;c;0.76628326;150;730.5394742;0
4552;92;2.29;b;0.812409596;150;983.5888755;1
2476;47;9.96;c;0.85195034;100;970.9156487;1
9846;94;4.8;c;0.641399082;50;1069.410132;1
5864;6;6.62;b;0.019332294;150;401.8592507;0
4130;96;8.71;c;0.333864667;100;916.6524858;1
7314;29;8.99;a;0.589737324;150;731.7028244;1
6853;98;0.29;a;0.121478441;50;955.2236449;1
8692;52;2.32;b;0.47370348;150;777.1505405;1
1437;17;7.05;a;0.69975639;50;1019.222872;1
4982;78;6.25;b;0.752742481;150;944.9105059;1
3085;4;5.91;a;0.99181832;150;772.9250195;1
5808;66;8.17;a;0.664953086;50;1134.918536;1
8385;51;1.46;b;0.823040367;150;881.2640016;1
5597;38;7.65;b;0.314711281;50;785.9593265;0
156;72;0.62;c;0.307264144;100;817.9647287;0
2037;35;7.48;b;0.988935561;100;1035.377665;1
4670;45;9.56;b;0.139040903;100;756.5188132;0
6255;58;4.6;c;0.666475753;150;696.8021717;0
9114;36;7.61;c;0.724624212;50;958.9547674;1
2522;53;6.35;c;0.417596034;50;894.7430118;1
1489;21;7.55;a;0.646647522;100;955.4565529;1
3180;11;1.41;a;0.823407757;50;1020.893549;1
2095;45;3.05;b;0.508562261;150;774.5185973;0
9188;79;7.76;c;0.479249753;100;928.2232022;1
3584;77;7.87;c;0.10089113;50;795.5130782;0
7127;77;4.4;b;0.274536459;150;764.4274748;0
1228;18;4.13;b;0.600534895;150;741.5181732;0
5070;5;9.86;b;0.157400987;50;628.6919239;0
2900;15;7.04;c;0.387455874;100;730.9160368;0
543;10;5.04;a;0.661912937;50;983.5625176;1
7074;76;8.14;a;0.645217124;150;864.0275825;1
9017;86;4.15;b;0.017340547;150;589.9555963;0
5055;2;0.47;b;0.706160455;100;852.4749376;1
7543;82;5.55;c;0.30494524;150;627.8850761;0
2636;44;8.66;b;0.880845477;150;903.3989827;1
7730;54;6.17;c;0.877547695;150;752.2280189;0
1045;69;7.72;b;0.010696453;100;675.6624971;0
121;66;3.76;c;0.735263562;50;1024.247512;1
3408;7;2.81;b;0.956069007;50;900.7403642;1
2944;15;6.18;b;0.884649747;50;913.3476629;1
4739;92;8.19;a;0.65751195;150;908.0025933;1
4462;44;4.02;b;0.804733661;50;956.9105004;1
1677;24;3.66;c;0.228158694;150;439.3119407;0
3261;52;3;c;0.501674888;150;622.4293982;0
9031;74;3.74;a;0.114412228;100;842.3216521;1
8425;91;8.59;b;0.058654437;100;802.9411592;0
8960;65;3.58;a;0.674061107;150;830.221863;0
3118;43;8.37;a;0.773114223;50;1109.995828;1
7522;40;8.14;c;0.161760787;50;746.1928386;1
6442;11;7.23;b;0.398503677;100;792.954707;0
9748;17;3.39;b;0.031769419;50;527.8977477;0
1014;71;4.72;c;0.826156341;150;775.9776545;1
3184;37;6.23;a;0.704223853;100;1008.579201;1
3181;31;2.77;c;0.208018577;150;443.0637081;0
8467;67;9.83;b;0.651510363;100;1029.557928;1
4022;29;9.09;b;0.864538504;150;862.966854;1
2054;67;8.02;a;0.042772777;100;773.3575708;1
7947;37;7.57;a;0.834537867;50;1109.462478;1
4934;67;0.31;b;0.848600433;150;924.4241961;1
4060;37;0.26;a;0.713657562;150;761.051417;0
8084;30;9.22;b;0.724239181;150;826.5081568;1
9225;83;6.05;c;0.9177396;100;1065.383201;1
8483;14;0.83;b;0.664860891;50;830.4480696;0
5376;100;8.57;a;0.710579668;150;945.3118788;1
6174;45;5.26;c;0.337195437;50;838.3476162;1
7760;78;4.85;a;0.57681559;50;1125.88154;1
2892;56;6.36;a;0.545330435;50;1065.400417;1
5132;9;7.05;c;0.026475626;50;545.3223196;0
1762;43;2.76;b;0.473906784;150;756.1895795;1
8291;42;5.04;c;0.886623506;150;720.8809776;0
7391;79;3.35;c;0.256688434;150;590.2719842;0
3464;90;0.93;a;0.046879154;150;581.6492129;0
918;26;5.79;b;0.64564002;150;781.3336807;0
365;26;6.55;c;0.903109424;150;690.2661881;0
2822;11;9.77;a;0.138105821;150;491.1413981;0
9937;95;4.7;a;0.245947981;150;746.4110542;0
2851;47;0.71;a;0.159361253;100;795.2077529;1
7858;19;7.13;c;0.423801453;150;525.0374144;0
8474;61;0.75;c;0.221333536;100;748.9710597;0
4468;71;4.63;c;0.736147941;150;750.2075613;0
4108;52;4.6;b;0.023202094;100;647.2222367;0
9073;66;9.95;c;0.206070746;100;783.8516477;0
170;80;9.86;b;0.393195666;100;972.103449;1
5633;12;7.67;a;0.515123995;100;890.1448641;0
4206;61;7.88;a;0.852214672;100;1116.060838;1
8651;67;3.01;c;0.671517387;100;945.9971909;1
2249;93;8.2;b;0.189926691;100;903.4519661;1
8489;63;5.4;a;0.952402147;150;908.7318064;1
5391;86;8.37;a;0.775671168;150;928.5274196;1
6294;64;9.35;b;0.170746558;150;693.0372933;1
3481;64;4.33;b;0.749627855;100;1033.067228;1
3021;11;0.15;a;0.649618214;150;676.2883237;0
9870;75;1.11;b;0.634194822;150;884.6723898;0
8232;27;8.03;b;0.258102278;50;733.2478947;1
5006;79;1.87;b;0.288585991;150;767.6224413;0
9653;52;3.5;b;0.408796964;50;846.3303179;1
5767;95;4.55;a;0.369442286;50;1091.549479;1
2275;15;7.19;a;0.267413602;50;854.992103;1
